"ahh","pdb","amh","rata.sekolah","kode","grup"
68.04,613.27,96.4,8.6,"Kab. Serdang Bedagai2005","baik"
68.6,613.57,96.4,8.6,"Kab. Serdang Bedagai2006","baik"
68.76,618.04,97.39,8.6,"Kab. Serdang Bedagai2007","baik"
68.79,622.9,97.39,8.6,"Kab. Serdang Bedagai2008","baik"
68.89,626.3,97.44,8.63,"Kab. Serdang Bedagai2009","baik"
68.98,628.82,97.7,8.64,"Kab. Serdang Bedagai2010","baik"
69.08,632.71,97.8,8.65,"Kab. Serdang Bedagai2011","baik"
69.18,637.36,97.81,8.67,"Kab. Serdang Bedagai2012","baik"
68.1,618.8,95.2,7.2,"Kab. Batu Bara2006","baik"
68.18,620.56,95.2,7.2,"Kab. Batu Bara2007","baik"
68.34,624.64,95.2,7.24,"Kab. Batu Bara2008","baik"
68.46,626.3,95.21,7.33,"Kab. Batu Bara2009","baik"
68.58,628.9,95.25,7.45,"Kab. Batu Bara2010","baik"
68.71,633.1,95.27,7.54,"Kab. Batu Bara2011","baik"
68.83,634.83,96.1,7.88,"Kab. Batu Bara2012","baik"
66.48,631.11,99.01,7.99,"Kab. Padang Lawas Utara2008","baik"
66.53,632.03,99.21,8.16,"Kab. Padang Lawas Utara2009","baik"
66.57,634.18,99.21,8.45,"Kab. Padang Lawas Utara2010","baik"
66.62,638.06,99.53,8.89,"Kab. Padang Lawas Utara2011","baik"
66.67,641.8,99.53,8.93,"Kab. Padang Lawas Utara2012","baik"
66.9,619.75,99.64,7.72,"Kab. Padang Lawas2008","baik"
66.97,622.29,99.65,8.12,"Kab. Padang Lawas2009","baik"
67.03,625.64,99.65,8.13,"Kab. Padang Lawas2010","baik"
67.09,630,99.66,8.4,"Kab. Padang Lawas2011","baik"
67.15,634.6,99.66,8.43,"Kab. Padang Lawas2012","baik"
69.28,628.66,98.81,7.97,"Kab. Labuhan Batu Selatan2008","baik"
69.62,628.88,98.82,8.18,"Kab. Labuhan Batu Selatan2009","baik"
69.95,630.27,98.84,8.21,"Kab. Labuhan Batu Selatan2010","baik"
70.23,634.67,98.93,8.24,"Kab. Labuhan Batu Selatan2011","baik"
70.5,638.28,98.94,8.36,"Kab. Labuhan Batu Selatan2012","baik"
